,symbol,currency,cik,exchange,exchange_short_name,industry,country,ipo_date,is_fund
0,GVCIW,USD,0001858503,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-12-30,False
1,TGOPF,USD,,Other OTC,OTC,Asset Management,GB,2007-09-05,False
2,VACN.SW,CHF,,Swiss Exchange,SIX,Industrial - Machinery,CH,2016-04-14,False
3,KL,USD,0001713443,New York Stock Exchange,NYSE,Gold,CA,1994-05-31,False
4,FLTDF,USD,,Other OTC,OTC,Financial - Capital Markets,NL,2017-10-05,False
5,002202.SZ,CNY,,Shenzhen Stock Exchange,SHZ,Industrial - Machinery,CN,2007-12-26,False
6,ZINGU,USD,0001844270,NASDAQ Global Market,NASDAQ,Shell Companies,US,2021-11-19,False
7,ESOCF,USD,0001096200,Other OTC,OTC,Diversified Utilities,IT,2009-02-13,False
8,3993.HK,HKD,,Hong Kong Stock Exchange,HKSE,Industrial Materials,CN,2007-04-26,False
9,005490.KS,KRW,,Korea Exchange,KSC,Steel,KR,2000-01-04,False
10,GAPB.MX,MXN,,Mexican Stock Exchange,MEX,"Airlines, Airports & Air Services",MX,2006-02-27,False
11,BOAC-WT,USD,0001818089,New York Stock Exchange,NYSE,,,,False
12,3323.HK,HKD,,Hong Kong Stock Exchange,HKSE,Construction Materials,CN,2006-03-23,False
13,HMSB.DE,EUR,,Deutsche Börse,XETRA,Apparel - Manufacturers,SE,1998-11-10,False
14,ECNLF,USD,,Other OTC,OTC,Apparel - Manufacturers,IT,2022-10-14,False
15,SZZLU,USD,0002030663,NASDAQ Global Market,NASDAQ,Shell Companies,US,2025-04-02,False
16,NGG,USD,0001004315,New York Stock Exchange,NYSE,Regulated Electric,GB,2005-08-10,False
17,IROHR,USD,0001901203,NASDAQ,NASDAQ,,US,,False
18,MAHSCOOTER.NS,INR,,National Stock Exchange of India,NSE,Auto - Parts,IN,2002-07-01,False
19,CPB,USD,0000016732,NASDAQ,NASDAQ,Packaged Foods,US,1954-12-13,False
20,CENTURYPLY.NS,INR,,National Stock Exchange of India,NSE,"Furnishings, Fixtures & Appliances",IN,2006-03-23,False
21,NSTC-UN,USD,0001835817,New York Stock Exchange,NYSE,Shell Companies,US,2021-03-02,False
22,GENUSPAPER.BO,INR,,Bombay Stock Exchange,BSE,"Paper, Lumber & Forest Products",IN,,False
23,PILITA.NS,INR,,National Stock Exchange of India,NSE,"Furnishings, Fixtures & Appliances",IN,2002-08-12,False
24,LAL.NS,INR,,National Stock Exchange of India,NSE,Apparel - Manufacturers,IN,2023-04-10,False
25,HUD.L,GBp,,London Stock Exchange,LSE,Entertainment,GB,2018-07-12,False
